ZONE,STATE,DEALER NAME,CHEQUE BOUNCE,DEALER YEARS,PHONE NUMBER,EMAIL ADDRESS,Q1016,Q2016,Q3016,Q4016,Q1017,Q2017,Q3017,Q4017,Q1018,CREDITABILITY
4,15,HIMALAYA TRADERS, 2 ,16,2,1,"56,92,429","42,45,161","1,22,97,249","1,48,70,466","50,27,390",0,0,0,0,1
5,14,HIND ENERGY AND COAL BENEFICATION I, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
3,11,HINDUSTAN AGENCIES, 1 ,15,2,2,0,"1,26,550","12,32,511","19,49,388","31,83,604","17,62,467","9,43,589","18,70,478","28,58,245",0
2,22,Hindustan Ceramic Distributor, 2 ,15,2,1,"10,56,429","66,306","7,46,140","6,77,354","5,24,304","2,63,355","5,22,642","4,96,985","9,26,250",1
4,15,HINDUSTAN INSECTICIDES LTD, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
2,27,HINDUSTAN IRON AND STEEL, 2 ,14,2,2,"5,90,067",0,0,0,0,"6,60,632","11,39,419","10,98,539","7,53,593",1
5,5,"HINDUSTAN SNTRY & HRDWR STORES,BIL/", 2 ,15,2,2,"25,38,075","2,08,800","3,24,150","18,68,089","21,41,402","9,04,760","4,94,820","11,28,533","33,52,014",1
4,15,HINDUSTAN STEEL TRADERS, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
4,15,HINDUSTAN TRADERS, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
3,29,HINDUSTHAN TRADING, 2 ,16,2,2,"62,01,851","32,23,355","41,92,681","53,18,361","69,96,361","24,71,198","46,22,765","59,47,485","85,73,109",1
2,22,Hinglaj Iron Store, 2 ,15,2,1,"32,84,087","6,57,408","4,49,946","33,47,837","14,23,135","19,04,627","23,72,624","25,64,467","32,05,866",1
1,13,HONEY INDUSTIRES, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
1,12,HS INDUSTRIES, 2 ,14,2,1,"4,27,808","2,50,677","29,895","1,25,641","2,91,358",0,0,"1,86,484","2,02,926",1
2,27,HUKAMCHAND MUKESH KUMAR, 2 ,14,2,1,"8,57,848","6,11,677","6,49,155","4,88,742","2,94,372","4,81,389","6,93,686","7,31,699","4,37,081",1
4,15,HUSAIN & SONS, 2 ,11,2,2,0,0,0,0,0,"65,350","1,13,000",0,"2,51,406",1
2,21,HUSNAR MACHINARY STORE, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
1,12,IDAKANI PRIMARY AGRICULTURE CREDIT, 1 ,11,2,1,0,0,0,"1,57,682",0,0,0,0,0,0
1,24,INDIA HARDWARES, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
1,24,INDIA IRON STEEL AND HARDWARES, 2 ,8,2,1,"2,76,000",0,0,0,0,0,0,0,0,1
1,24,INDIAN AGENCIES, 2 ,11,2,1,"1,29,747","2,01,954","1,77,977",0,"1,25,569",0,0,0,0,1
5,14,INDIAN COMMERCIAL CORPORATION, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
1,13,INDIAN HARDWARE STORES, 2 ,16,2,1,"3,98,563","1,24,273","2,46,462","4,33,083","2,39,230","1,31,968","2,69,373","2,51,175","4,67,643",1
1,24,INDIAN STEEL COMPANY, 2 ,10,2,1,"1,08,143",0,0,"15,529",0,0,0,0,0,1
1,24,INDIRA STEELS, 2 ,12,2,2,"6,28,430","6,46,270","4,00,227","6,13,029","3,94,561","5,97,752","3,97,550","4,00,173","4,70,844",1
5,14,INDORE TRADING COMPANY, 2 ,4,1,1,0,0,0,0,0,0,0,0,0,1
4,15,INTEXT SOLUTIONS, 2 ,8,2,1,"2,06,720","1,57,410",0,"1,79,360","10,86,804","2,12,800","11,27,757","9,87,328",0,1
3,29,ISLAM HW, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
5,14,ITARSI STEEL AGENCY, 2 ,12,2,1,0,0,0,"2,34,080",0,0,0,0,0,1
5,5,J K SANITORY WARE, 2 ,14,2,2,"7,65,550","3,88,875",0,"7,95,738","2,71,650","13,59,465","4,15,030","12,26,328","11,35,890",1
1,1,J P HARDWARES, 2 ,11,2,1,"4,41,918","5,70,578","3,94,127","3,99,236","5,71,908","12,01,778","6,60,420","10,02,733","8,16,639",1
5,14,J. J ENTERPRISES, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
5,14,J.A TRUNK INDUSTRIES, 2 ,11,2,1,"17,46,975","12,20,313","10,62,631","12,16,057","18,60,873","15,76,509","18,31,341","20,88,062","37,81,207",1
2,8,J.K. ENTREPRISES, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
3,20,J.P ENTERPRISES, 2 ,3,1,1,0,0,0,0,0,0,0,0,0,1
4,7,J.R.DASTUR & CO, 2 ,9,2,2,0,0,0,0,0,0,0,0,0,1
1,24,J.R.HARDWARES, 2 ,5,2,1,"1,40,474",0,0,0,0,0,0,0,0,1
1,24,J.S Anjana Hardware, 2 ,7,2,1,"58,736","77,018","94,919","2,30,673","38,112","90,640","52,613","67,122",0,1
1,13,JACOB JOHN & CO., 2 ,8,2,2,"4,53,575","1,46,203","1,73,160","62,875","1,42,815","45,689","1,24,013","83,610","1,11,033",1
1,24,JACOB SUDHAGAR, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
3,20,JAGADAMBA FERTILIZERS, 2 ,11,2,1,0,0,0,0,0,0,0,0,0,1
1,12,JAGADEESH TRADERS, 2 ,6,2,1,"1,31,920",0,0,0,0,0,0,0,0,1
3,29,JAGADHATRI HW, 2 ,12,2,2,"40,67,014","25,88,750","24,10,686","27,40,565","41,43,321","27,85,759","31,08,357","36,35,906","51,21,264",1
2,21,JAGAN NATH DHARAM CHAND, 2 ,6,2,1,"1,60,902",0,0,0,0,0,0,0,0,1
3,20,JAGANATH PRASAD DASRAPURIA, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
3,20,JAGANNATH TRADERS, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
2,8,JAGDAMBA CEMENT AGENCY, 2 ,11,2,1,"1,60,419","1,58,169","1,62,950","1,48,017","3,18,881","1,81,113","1,29,075","2,98,929","1,68,282",1
2,8,JAGDAMBA IRON & MILL STORE, 1 ,10,2,1,"98,626",0,"1,04,036","2,16,845","2,19,870","1,30,407","2,21,369","3,94,535","3,14,697",0
3,4,Jagdamba Steel, 1 ,7,2,1,"6,27,200","4,67,179","4,46,779","2,50,425","10,43,901","4,47,577","2,96,160","1,45,141","13,65,528",0
5,14,JAGDISH KUMAR GROVER, 2 ,14,2,1,"25,37,442","3,02,546","8,67,294","6,87,050","13,21,163","1,75,445",0,"1,47,050",0,1
2,27,Jagdish saran and co, 2 ,11,2,2,"3,36,265","7,54,262","3,14,238","3,31,138","1,96,140",0,"5,45,890",0,"3,78,593",1
4,7,JAGDISH STEEL, 2 ,6,1,1,0,0,0,0,"97,803",0,0,0,0,1
5,14,JAGWANI HARDWARE, 2 ,13,2,1,"9,88,440","1,20,630","1,78,800","4,67,650","12,20,178","2,30,880","2,32,578","4,75,210","7,19,355",1
4,15,JAI AMBE BUILDING MATERIAL SUPPLIER, 2 ,4,2,1,0,0,0,0,0,0,0,0,0,1
5,14,JAI AMBEY TRADERS, 2 ,12,2,1,"7,81,850","2,45,700",0,"2,46,600","4,92,800",0,"2,36,800",0,"12,05,680",1
2,8,JAI BAJRANG POLY PACK PVT. LTD., 1 ,5,2,1,0,0,0,0,0,0,0,0,0,0
5,14,JAI BAJRANG STEEL TRADERS, 2 ,13,2,2,"12,79,450",0,0,"2,50,500","7,41,745",0,"1,38,400","65,625","7,16,125",1
2,21,JAI BHAWANI ENTERPRISES, 2 ,15,2,2,"25,28,722","12,73,598","12,59,357","14,50,097","18,44,174","13,90,306","16,19,068","21,93,138","19,78,846",1
2,28,Jai durga trading co, 2 ,12,2,1,"11,65,977","6,16,090","7,06,250","7,04,210","9,88,597","9,11,075","1,08,750","2,40,800","8,09,830",1
4,15,JAI HANUMAN SAW MILL, 2 ,12,2,2,"17,18,482","2,34,090","1,19,880","11,52,563","9,58,575","3,74,050","5,19,961","5,00,530","12,25,962",1
3,20,JAI JAGANNATH ENTERPRISES, 2 ,12,2,1,0,0,0,0,0,0,0,0,0,1
5,14,JAI LOGISTICS, 2 ,4,2,1,0,0,0,0,0,0,0,0,0,1
4,7,JAI VEER STEEL TRADERS, 2 ,14,2,1,"1,25,657","1,49,132","1,25,239","1,23,885",0,"1,40,184",0,"4,36,631",0,1
5,27,JAID TRADING COMPANY, 2 ,17,2,1,"1,38,96,979","51,86,118","1,08,63,689","1,35,13,282","1,82,61,144","72,37,219","44,61,219","22,20,098",0,1
1,13,JAIHIND HARDWARES, 2 ,12,2,1,"3,99,825","1,24,473","1,25,366","3,79,280","2,55,226",0,"1,17,727","1,20,232","2,45,915",1
4,15,JAIHIND TRADING COMPANY  PVT. LTD, 2 ,15,2,2,"19,48,039","2,33,580","6,38,236","4,73,075","17,34,987","6,38,452","5,28,950","18,64,122","18,16,360",1
5,27,JAIN CEMENT, 2 ,13,1,1,0,0,0,0,"2,51,283",0,0,0,0,1
3,29,JAIN HARDWARE & AUTO CENTER, 2 ,11,2,2,"2,41,530",0,0,0,0,0,0,0,0,1
2,22,Jain Iron and Fitting Store, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
2,22,JAIN KRISHI YANTRA UDHYOG, 2 ,10,2,1,"1,67,583","2,68,119",0,"1,63,230","1,73,631","1,85,902",0,"1,77,450","3,81,840",1
5,5,JAIN LOHA BADA, 2 ,11,2,2,"8,22,800","5,68,800","1,49,303","21,82,810","6,00,572","3,02,185","6,44,880","5,78,100","9,48,300",1
2,21,JAIN TRADERS, 2 ,4,1,1,0,0,0,0,0,0,0,0,0,1
5,5,JAIN TRADING, 2 ,15,2,2,"85,35,480","2,10,160","35,10,775","48,18,593","49,65,748","15,16,680","28,36,625","25,50,675","85,49,641",1
2,8,JAIPAL S/O JAI BHAGWAN, 2 ,8,2,1,"99,656",0,0,0,0,0,"1,40,805",0,0,1
5,14,JAISWAL HARDWARE, 2 ,8,2,1,"4,92,000",0,"2,32,440","2,44,150",0,0,0,0,0,1
5,27,JAISWAL HARDWARE & PAINT, 2 ,17,2,2,"59,51,967","12,64,349","11,85,100","46,78,917","11,55,451",0,0,0,0,1
5,27,JAISWAL HARDWARE & PAINT, 2 ,12,2,1,"1,11,947",0,0,0,0,0,0,0,0,1
5,27,JAISWAL IRON STORE, 2 ,12,2,2,"10,26,843","5,37,209","16,82,119","11,99,101","14,09,279","2,10,575","3,02,927","1,12,831","10,27,813",1
5,27,JAISWAL TRADERS, 2 ,4,2,1,0,0,0,0,0,0,0,0,0,1
3,4,Jalan Agencies, 2 ,14,2,1,0,0,0,0,0,0,0,0,0,1
4,15,JALARAM AGENCIES, 1 ,15,2,2,"3,21,380","1,18,110",0,0,"1,29,516",0,0,"1,25,320","4,90,811",0
1,12,JALARAM SAW  MILL, 2 ,12,2,1,"6,42,856","1,37,375","2,82,601","1,74,700","4,65,793","3,10,854","2,97,245","1,51,307",0,1
3,29,JAMAL ENTERPRISE, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
1,13,JAMEER V P BEST CEMENT BRICKS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
5,14,JAN MANGAL TRADERS, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
3,29,Jana Enterprises, 2 ,15,2,2,"26,13,334","12,67,395","6,50,061","7,83,277","9,39,968","6,00,332","1,54,193","4,31,811",0,1
3,29,JANATA HARDWARE, 2 ,10,2,1,"2,95,416","1,42,320",0,"2,66,841","2,75,902","2,57,408","1,26,960","2,40,360","2,53,053",1
1,13,JANATHA STEEL, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
1,13,JANATHA STEELS, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
1,13,JANATHA TRADERS, 2 ,9,2,1,"2,68,981","1,37,367",0,0,"6,23,119","1,23,786","1,23,224","1,39,243",0,1
3,29,JANG BAHADUR RAI RAMANAND RAI, 2 ,13,2,2,"8,96,856","3,02,797",0,"1,42,996","6,03,127","1,43,322","1,40,394","5,53,230","7,04,486",1
5,14,Jangid Marketing, 2 ,13,2,1,"6,03,750","3,92,098","9,47,023","2,71,246","3,64,150","3,79,590",0,0,"3,86,485",1
3,20,JANNHABI ENTERPRISES, 2 ,13,2,1,"30,71,413","20,68,318","19,42,736","32,53,813","48,29,674","26,43,750","34,42,424","42,68,099","55,60,835",1
2,27,Janta Iron & Cement Store, 2 ,6,2,1,"1,95,476",0,0,0,0,0,"1,85,868","2,82,081",0,1
5,14,JANTA TRADERS, 2 ,15,2,2,"50,43,715","2,05,062","18,05,010","18,04,220","37,34,978",0,"4,20,382","19,63,956","30,91,340",1
5,14,JANTA TRADERS, 2 ,13,2,1,"25,20,814","3,33,874","3,47,297","12,37,722","11,02,792","2,30,397","2,55,125","3,25,846","18,84,565",1
4,7,JASHBHAI AMBALAL PATEL, 2 ,11,2,2,"6,17,768","3,03,205","1,58,215","1,49,503","4,50,404","3,24,203","5,52,121","1,67,071","8,24,654",1
4,15,JAY AMBIKA MARBLE, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
4,7,JAY BHARAT SAW MILL, 2 ,10,2,1,"10,52,241","3,52,223","2,44,800","3,11,960","14,77,142","3,99,309","3,17,541","4,13,570","14,99,911",1
3,20,JAY LAXMI AGENCY, 2 ,17,2,1,"55,98,832","15,05,963","15,53,289","27,53,183","56,57,082","16,34,509","13,53,275","35,17,561","48,26,426",1
2,27,Jay Trading co, 2 ,14,2,1,"7,27,526","3,25,672","4,12,882","2,76,179","3,22,978","3,97,330","7,10,895","5,10,919","1,56,328",1
4,7,JAY UMIYA STEEL TRADERS, 1 ,8,1,1,0,0,0,0,0,0,0,0,0,0
1,24,JAYA MURUGAN TRADERS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
4,7,JAYANTILAL & CO, 2 ,11,2,1,"7,27,993","12,57,912","6,36,873",0,"8,08,605","9,12,049","5,43,722","17,37,977","18,78,682",1
4,7,JAYANTILAL & SONS, 2 ,13,2,2,"2,84,421",0,"1,66,001","2,35,890","4,38,261","3,77,327","2,25,102","6,35,401","4,30,547",1
1,24,JAYASAKTHI CASTING INDIA PVT LTD, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
1,12,JA1H TRADERS, 2 ,6,2,1,"2,16,789","1,49,805",0,"1,43,891",0,0,0,0,"1,21,442",1
4,7,JAYNATH TEXTILE, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
1,12,JAYPEE CEMENT CORPORATION LIMITED, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
2,10,JEHLUM STEEL TRADERS, 2 ,14,2,2,"30,77,229","28,15,180","24,69,024","24,00,573","42,79,219","32,53,134","25,27,997","46,58,350",0,1
1,24,JER AGENCIES, 2 ,5,2,1,"58,001",0,"49,856",0,"72,502",0,0,0,0,1
1,24,JESU RAJ (RAJ CHAMBERS), 2 ,11,2,1,0,0,0,0,0,0,0,0,0,1
1,12,JESUS HARDWARE, 2 ,6,2,1,"3,22,678",0,"1,61,898",0,"3,70,542",0,"1,79,988","2,03,288","2,07,878",1
3,20,Jey Kumar Vijaya Kumar Jain, 2 ,12,2,2,"3,15,80,195","66,88,034","33,24,063","7,85,292","33,10,999",0,0,0,0,1
1,24,JEYA ANANDHI TRADERS, 2 ,5,2,1,"1,01,757","1,19,951","1,23,332","59,400","1,31,332","1,14,964","1,13,161",0,"1,20,677",1
4,15,JHAMTANI SALES, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
4,7,JHANVI TEXTILES, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
5,14,JHARIYA MURGIPALAN SAMUH, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
3,29,JINDAL (INDIA) LTD, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
5,5,JINDAL CEMENT AND STEEL, 2 ,15,2,2,0,0,0,"5,14,560","84,915",0,0,"1,11,10,034",0,1
2,21,JINDAL HYBRID SEED CO., 2 ,7,2,1,0,0,0,0,0,0,"3,66,935","3,26,112",0,1
2,27,Jindal Iron traders, 2 ,12,2,1,"1,24,744",0,0,0,"5,93,399","9,49,883","24,59,787","4,48,128",0,1
5,14,JITENDRA HARDWARE, 2 ,6,2,1,"2,53,550",0,0,"1,82,400","1,94,844",0,"1,79,850","3,48,000","2,15,063",1
1,13,JJ ENTERPRISES, 2 ,6,2,1,"1,25,142",0,"1,25,204",0,"1,29,890","62,236",0,0,"1,26,482",1
2,8,JOGINDER PAL SINGH S/OSH.JAGMAL SIN, 1 ,5,1,1,0,0,0,0,0,0,0,0,0,0
2,21,JOHAL PAINT AND HARDWARE STORE, 2 ,8,2,1,0,"1,56,901",0,"1,56,901",0,0,"53,171",0,0,1
1,13,JOHNCO AGENCIES, 2 ,8,2,1,"47,028","61,730",0,"1,04,129","85,713",0,0,0,0,1
1,13,JOHNEY'S STEELS, 2 ,10,2,1,"1,81,676","1,54,253","71,723","1,38,169","2,67,360","1,16,618","2,36,224","1,25,847","1,26,400",1
2,21,JOLLY CEMENT STORE, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
1,24,JOSE TRADERS, 2 ,7,2,1,"19,079",0,0,0,0,0,0,0,0,1
4,7,JOSHI CHETANJI MOTIRAMJI, 1 ,12,2,1,"8,67,961","2,46,602",0,0,0,0,0,0,0,0
1,24,JOTHI STEELS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
4,7,JSK INDUSTRIES PVT LTD, 2 ,13,2,1,0,0,0,0,0,0,0,0,0,1
4,15,JUBAILO CHEM PVT LTD, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
2,21,JUND IRON STORE, 1 ,8,2,1,0,0,0,0,0,0,0,0,0,0
1,12,JUVANA INDUSTRIES, 2 ,13,2,2,"15,42,853","1,67,657",0,"8,77,174","8,84,099","1,98,463","3,69,796","5,97,837","15,31,210",1
4,15,JYOTI STEEL, 2 ,4,1,1,0,0,0,0,0,0,0,0,0,1
2,27,K K Enterprises, 2 ,12,2,2,"7,83,485","10,18,504","6,68,773","3,29,509","1,90,883","8,47,364","20,48,799","9,22,923","32,93,869",1
1,13,K K TRADERS, 2 ,9,2,1,"5,93,897","2,63,315","2,54,921","3,84,507","6,56,494","2,41,541","1,24,391",0,0,1
1,13,K M PARTHASARATHY & SONS (AGENCIES), 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
1,13,K M T HARDWARES AND PAINTS, 2 ,4,1,1,0,0,0,0,0,0,0,0,0,1
1,24,K.AYYASAMY & SONS, 2 ,10,2,1,"30,07,580","24,93,685","10,52,049","14,16,357","13,65,170","10,90,455","11,87,190","16,05,546","16,53,963",1
1,12,K.B.CERAMICS, 1 ,11,2,2,"12,57,053","6,15,129","7,34,434","6,91,655","12,36,456","6,44,225","7,81,979","6,24,604","15,49,590",0
3,4,K.K.Brothers, 2 ,9,2,1,"2,12,480",0,"67,702","66,952","73,119","72,075","1,39,742",0,"1,43,373",1
1,24,K.MUTHIAH TIMBERS, 2 ,12,2,1,"36,87,984","19,56,431",0,0,"38,934",0,0,0,0,1
1,13,K.O. ABRAHAM, 1 ,9,2,1,"2,57,081",0,"1,25,454",0,0,0,0,0,0,0
1,24,K.S BABU STORES, 1 ,6,2,1,"1,91,500","1,92,600",0,"1,92,000","3,85,690","1,83,078",0,"1,84,030","3,83,635",0
1,13,K.S. STEEL TRADERS, 2 ,16,2,1,"5,49,645","4,53,020","2,54,958","1,29,371","70,582","44,899",0,0,0,1
1,1,K.S.R. STEELS, 2 ,12,2,2,"1,26,17,741","88,35,467","90,15,417","92,89,476","1,51,48,301","1,35,52,270","92,48,018","1,39,75,834",0,1
1,12,K.S.SUBRAYAPPA, 2 ,6,2,1,0,0,0,0,"6,37,576","2,97,212",0,0,0,1
1,24,K.SHIVARAMA MURUGAN, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
2,21,K.T.TRADERS, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
1,24,K.VELUSAMY, 2 ,8,2,1,"1,02,713",0,0,0,0,0,0,0,0,1
2,21,KABIR CEMENT STORE, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
2,8,KADIAN TRADING CO, 2 ,7,1,1,0,"1,18,221","1,15,068","1,60,257",0,"1,26,639","1,21,653",0,0,1
2,27,Kailash Traders, 2 ,11,2,1,0,0,0,0,0,"2,19,154","1,35,792","2,98,335",0,1
1,13,KAILATH STEELS, 1 ,11,2,1,"2,38,055","1,11,895","1,47,057","1,63,350","1,40,183","2,34,460","2,12,352","1,87,844","1,31,565",0
1,13,KAIRALI BUILDING MATERIALS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
1,13,KAIRALI STORES, 1 ,10,2,1,"1,21,904",0,0,"1,18,521","66,129","75,987",0,0,0,0
5,27,KAKA BUILDING MATERIAL SUPPLIER, 2 ,10,2,1,0,0,0,0,0,0,0,0,0,1
2,8,KALAM SINGH POULTERY FARM, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
4,15,KALANTRI CEMENT AGENCIES, 2 ,12,2,2,"1,20,750",0,"97,362",0,"1,22,430","1,16,435","2,89,830",0,"4,84,270",1
1,13,KALAPURACKAL TRADERS, 2 ,9,2,1,"1,75,582",0,"1,47,491","1,26,587","1,07,588","61,612","1,20,747","1,93,805","1,20,692",1
5,27,KALAWATI  TRADERS, 2 ,15,2,1,"5,85,022","3,87,554","6,02,700","5,87,899","6,02,267","6,17,835","2,80,758","8,73,039","1,91,788",1
4,7,KALIM STEEL TRADERS, 2 ,13,2,2,"6,26,137",0,"4,63,671",0,0,0,0,0,"1,95,325",1
4,15,KALPATARU ENTERPRISES, 2 ,10,2,2,0,"1,22,100",0,"1,44,960",0,0,0,0,0,1
5,14,KALPNA STEEL & HARD WARE STORES, 2 ,13,2,2,"20,26,965",0,"4,91,600","4,86,400","4,92,336",0,0,"5,86,875",0,1
2,21,KALRA STEEL SALES, 2 ,11,2,2,"7,23,169","6,16,254","2,47,536","22,76,360","50,19,012","59,14,188","77,49,015","74,35,000","64,67,609",1
3,4,Kalyan Hardware Store, 2 ,7,2,1,"50,973",0,0,0,"1,52,330","1,78,841","59,889",0,"36,201",1
2,22,KAMAL STONE, 2 ,14,1,1,0,0,0,0,0,0,0,0,0,1
5,14,"KAMAL STORES.,NH/II/XVIII/117", 1 ,10,2,1,"4,98,400",0,0,"2,32,560","4,75,488",0,0,0,0,0
5,14,KAMAL TRADERS, 2 ,7,1,1,0,0,0,0,0,0,"2,32,200","1,85,400",0,1
1,12,KAMALA ENTERPRISES, 2 ,6,2,1,"1,41,220",0,0,0,0,0,0,0,"67,076",1
3,29,Kamala traders, 2 ,11,2,1,"5,95,733","4,31,789","1,33,746","1,35,180","2,90,000","2,81,216","1,38,546","2,73,208","4,50,228",1
1,12,KAMALAKAR TRADERS, 2 ,14,2,1,"5,76,265","5,05,239","2,41,588","5,17,959","5,75,593","5,40,336","3,55,109","2,49,190","6,52,798",1
2,27,Kamar Building materials, 2 ,11,2,1,"5,74,340","2,91,883","2,45,910","1,84,971","1,57,789","1,80,402","3,64,624","1,54,087","2,29,832",1
1,13,KAMBIYAKATH TRADERS, 2 ,13,2,1,"2,89,985",0,"2,09,300",0,"1,65,066","1,35,795",0,"1,49,137",0,1
2,27,Kamboj building material, 2 ,6,2,1,"2,61,440","1,14,210",0,"2,61,313","2,31,241",0,0,0,0,1
4,7,KAMDHENU TEXTILE, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
4,7,KANAIYA STEEL, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
1,13,KANDAPALLIL TRADERS, 2 ,14,2,1,"3,21,470","1,52,984","3,18,052","3,92,689","3,91,362","2,30,679","3,72,996","3,94,499","4,86,246",1
1,24,KANDEEBAN.D, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
4,15,KANEETA ENTERPRISES, 2 ,14,2,2,"1,83,120",0,"3,17,040","1,36,160","5,22,836","1,25,475","1,14,825","2,99,497","5,64,665",1
5,27,KANHYA TRADERS, 2 ,14,2,2,"1,29,826",0,0,0,0,0,0,0,0,1
1,24,KANI STORES, 2 ,6,2,1,"82,691","47,965",0,0,0,"43,372","29,307",0,0,1
1,13,KANIYAMPARAMBIL HARDWARES, 2 ,11,2,1,"3,58,657","4,59,317","5,94,363","4,64,554","98,771","83,716","1,77,942","1,95,039","1,53,654",1
1,13,KANIYAMPARAMBIL STEELS, 2 ,10,2,1,"7,68,272","1,77,727","1,80,323","2,07,557","9,61,899","4,68,023","4,47,372","2,38,229","4,54,308",1
1,24,KANNAN PLYWOOD AGENCIES, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
5,27,KANPUR STEEL ENGINEERS, 2 ,8,2,1,"20,536","24,643","1,12,592","1,34,387",0,0,0,0,0,1
2,21,KANSAL CEMENT AND MACHINERY STORE, 2 ,14,2,1,"3,21,616","3,13,818","1,42,999","2,94,945","4,44,695","5,08,390","3,48,966","1,82,490","1,87,200",1
5,14,KAPOOR TRADERS, 2 ,15,2,1,0,"8,316",0,"13,99,800",0,0,0,0,0,1
1,13,KARAMAYIL ENTERPRISES, 2 ,9,2,1,"1,15,246",0,"1,35,141","1,11,413","91,935",0,0,"1,02,782","1,18,101",1
4,15,KARAMTARA ENGG. PVT. LTD. UNIT 0 II, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
5,14,KARAN TRADERS, 2 ,13,2,1,"7,46,835","2,56,100","6,35,455","2,04,400","2,47,225",0,"4,41,750","6,46,555","8,97,563",1
1,13,KARIKKAN HARDWARE, 1 ,8,2,1,0,0,0,0,0,0,0,0,0,0
1,13,KARIKKAN STEELS, 2 ,7,2,1,"2,52,723","1,24,447","84,732","1,20,796","4,54,330","64,418",0,0,0,1
3,29,"KARMAKAR BROTHERS,WBST0RG/1250A", 2 ,15,2,1,"14,00,153","2,93,515","8,50,075","4,98,454",0,"2,38,500","9,79,910","8,81,639","23,45,880",1
1,13,KAROT STEELS & CEMENTS, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
5,14,KARTHIKEY OVERSEAS, 1 ,9,1,1,0,0,0,0,0,0,"3,50,400",0,0,0
1,24,KARTHIKEYAN.G, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
5,27,KARTIK TRADING COMPANY, 2 ,12,2,1,"3,68,799","1,80,715","1,68,707",0,0,0,0,0,0,1
1,24,"KARUPPIAH P, S/O PERUMAL THEVAR", 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
2,21,KASHMIRI LAL ARVEEN  KUMAR JAIN, 2 ,12,2,2,0,"1,46,986",0,0,0,0,0,0,0,1
2,22,Kashubhaiwala Steels, 2 ,13,2,1,"9,51,854","1,73,462",0,"1,71,955",0,"2,29,397",0,"1,88,700","12,73,805",1
1,12,KASTHURI AGRO SUPPLIER, 2 ,6,2,1,"81,724",0,0,0,"1,21,278",0,0,0,0,1
1,24,KATHIR INDUSTRIES AND BODY BUILDERS, 2 ,6,2,1,"5,63,250","2,87,488","1,42,313","1,45,075","4,40,538","2,94,444","6,34,590","3,41,180","1,23,225",1
3,20,KAUSHIK ENTERPRISES, 2 ,16,2,1,"3,92,907",0,0,0,0,0,0,0,0,1
1,13,KAVA2OR TRADERS, 2 ,6,2,1,"1,91,754",0,"95,311",0,"79,038",0,0,0,0,1
3,20,KAVITA TRADING CO, 2 ,15,2,2,"2,49,71,584","49,40,160","54,40,201","80,89,863","1,20,70,534","25,54,082","41,78,711","72,41,787","1,33,37,224",1
